ID,Predict 1,Predict 2
1001,1,0
1002,0,1
1003,1,0
1004,0,1
1005,1,0
1006,0,1
1007,1,0
1008,0,1
1009,1,0
1010,0,1
1011,1,0
1012,0,1
1013,1,0
1014,0,1
1015,1,0
1016,0,1
1017,1,0
1018,0,1
1019,1,0
1020,0,1
1021,1,0
1022,0,1
1023,1,0
1024,0,1
1025,1,0
1026,0,1
1027,1,0
1028,0,1
1029,1,0
1030,0,1
1031,1,0
1032,0,1
1033,1,0
1034,0,1
1035,1,0
1036,0,1
1037,1,0
1038,0,1
1039,1,0
1040,0,1
1041,1,0
1042,0,1
1043,1,0
1044,0,1
1045,1,0
1046,0,1
1047,1,0
1048,0,1
1049,1,0
1050,0,1
1051,1,0
1052,0,1
1053,1,0
1054,0,1
1055,1,0
1056,0,1
1057,1,0
1058,0,1
1059,1,0
1060,0,1
1061,1,0
1062,0,1
1063,1,0
1064,0,1
1065,1,0
1066,0,1
1067,1,0
1068,0,1
1069,1,0
1070,0,1
1071,1,0
1072,0,1
1073,1,0
1074,0,1
1075,1,0
1076,0,1
1077,1,0
1078,0,1
1079,1,0
1080,0,1
1081,1,0
1082,0,1
1083,1,0
1084,0,1
1085,1,0
1086,0,1
1087,1,0
1088,0,1
1089,1,0
1090,0,1
1091,1,0
1092,0,1
1093,1,0
1094,0,1
1095,1,0
1096,0,1
1097,1,0
1098,0,1
1099,1,0
1100,0,1
